,Ticker,Stock Price,Market Cap,No. of shares to buy
153,ECL,144.54,41169047792,691
154,ED,95.85,34013603981,1043
155,EFX,195.73,23965852358,510
156,EIX,65.18,24890591251,1534
157,EL,241.02,86020038000,414
158,EMN,82.18,9860808114,1216
159,EMR,95.54,56502356000,1046
160,EOG,130.61,76718942073,765
161,EQIX,657.68,60860467473,152
162,EQR,59.44,22463500605,1682
163,ES,84.23,29337933650,1187
164,ESS,211.65,13705144310,472
165,ETFC,49.26,10891188960,2030
166,ETN,156.8,62359360000,637
167,ETR,113.43,23081151554,881
168,EVRG,63.34,14538834626,1578
169,EW,74.19,45868746421,1347
170,EXC,43.04,42770656971,2323
171,EXPD,107.31,17076925367,931
172,EXPE,86.43,13013542456,1157
173,EXR,146.91,19674411678,680
174,F,11.36,44867933381,8802
175,FANG,137.03,24117085006,729
176,FAST,47.76,27355011869,2093
177,FB,196.64,5.61211E+11,508
178,FBHS,57.62,,1735
179,FCX,38.1,54457365977,2624
180,FDX,175.93,44404228840,568
181,FE,42,24013634190,2380
182,FFIV,141.01,8512577696,709
183,FIS,66.92,39708953196,1494
184,FISV,100.46,63794920515,995
185,FITB,32.41,22246099740,3085
186,FLIR,57.34,7565007314,1743
187,FLS,30.08,3931331649,3324
188,FLT,181.22,13365403042,551
189,FMC,126.34,15914534712,791
190,FOX,28.85,16234436370,3466
191,FOXA,30.76,16234436361,3250
192,FRC,119.4,21449829233,837
193,FRT,102.34,8310978081,977
194,FTI,12.12,5410853539,8250
195,FTNT,48.73,38069630816,2052
196,FTV,64.15,22696799430,1558
197,GD,247.9,68060687432,403
198,GE,81.79,89369327171,1222
199,GILD,84.75,1.06297E+11,1179
200,GIS,85.41,50358651339,1170
201,GL,120.14,11686045312,832
202,GLW,31.75,26854511188,3149
203,GM,33.83,48062172304,2955
204,GOOG,89.81,1.07955E+12,1113
205,GOOGL,89.23,1.07955E+12,1120
206,GPC,176.57,24924859393,566
207,GPN,96.72,26153198841,1033
208,GPS,12.06,4386184626,8291
209,GRMN,91.26,17491250526,1095
210,GS,345.51,1.17002E+11,289
211,GWW,565.1,28554086521,176
212,HAL,39.09,35495548513,2558
213,HAS,58.21,8039599758,1717
214,HBAN,14.05,20270416283,7117
215,HBI,6.1,2128587009,16393
216,HCA,240.74,68061218358,415
217,HD,318.73,3.26292E+11,313
218,HES,141.68,43681143463,705
219,HFC,36.39,5931624949,2748
220,HIG,76.13,24216871465,1313
221,HII,230.07,9180606528,434
222,HLT,126.43,34193754229,790
223,HOLX,75.51,18562907142,1324
224,HON,213.87,1.4379E+11,467
225,HPE,15.75,20188615403,6349
226,HPQ,26.76,26282221501,3736
227,HRB,39.15,6086578268,2554
228,HRL,45.63,24933335972,2191
229,HSIC,80.64,10930556448,1240
230,HST,16.34,11683553615,6119
231,HSY,235.88,48374270400,423
232,HUM,513.96,65067499439,194
233,HWM,39.06,16159592165,2560
234,IBM,141.65,1.28069E+11,705
235,ICE,102.81,57424692566,972
236,IDXX,410.58,34002986205,243
237,IEX,229.33,17296322927,436
238,IFF,103.9,26490578087,962
239,ILMN,191.24,30082052000,522
240,INCY,81.36,18100604076,1229
241,INFO,108.61,45801486922,920
242,INTC,26.09,1.07673E+11,3832
243,INTU,384.49,1.08013E+11,260
244,IP,34.73,12352419413,2879
245,IPG,33.42,12984496076,2992
246,IPGP,92.94,4527512525,1075
247,IQV,203.84,37861246288,490
248,IR,52.28,21169517844,1912
249,IRM,50.63,14718851693,1975
250,ISRG,262.66,92819991156,380
251,IT,335.95,26548240461,297
252,ITW,221.97,68186160547,450
253,IVZ,18.38,8358941095,5440
254,J,120.86,15302237004,827
255,JBHT,177.36,18363397343,563
256,JCI,64.1,44017719285,1560
257,JKHY,177.34,12936852448,563
258,JNJ,177.48,4.64019E+11,563
259,JNPR,31.67,10278673413,3157
260,JPM,131.28,3.85071E+11,761
261,K,72.18,24549139800,1385
262,KEY,17.18,16028417608,5820
263,KEYS,169.83,30364832972,588
264,KHC,40.52,49634170245,2467
265,KIM,21.27,13154661833,4701
266,KLAC,377.39,53483079427,264
267,KMB,137.15,46287040692,729
268,KMI,18.14,40774041168,5512
269,KMX,60.16,9506211939,1662
270,KO,63.82,2.7599E+11,1566
271,KR,45.89,32849065844,2179
272,KSS,24.98,2759893517,4003
273,KSU,293.59,26710947380,340
274,L,57.85,13735154958,1728
275,LB,79.92,21957908112,1251
276,LDOS,105.17,14375640710,950
277,LEG,32.34,4287553019,3092
278,LEN,90.62,25820601183,1103
279,LH,231.65,20524190000,431
280,LHX,206.24,39268672441,484
281,LIN,329.33,1.62215E+11,303
282,LKQ,53.64,14331266195,1864
283,LLY,367.9,3.4957E+11,271
284,LMT,483.29,1.26658E+11,206
285,LNC,30.13,5098461930,3318
286,LNT,55.3,13881507199,1808
287,LOW,201.88,1.25307E+11,495
288,LRCX,412.12,56204651952,242
289,LUV,36.09,21428509824,2770
290,LVS,46.52,35549014415,2149
291,LW,89.63,12891590815,1115
292,LYB,83.13,27069159115,1202
293,LYV,70.69,16320898647,1414
294,MA,343.6,3.27727E+11,291
295,MAA,156.35,18054831764,639
296,MAR,148.58,47031455700,673
297,MAS,47.13,10629187567,2121
298,MCD,267.57,1.95975E+11,373
299,MCHP,69.93,38462109090,1430
300,MCK,383.67,54401904472,260
301,MCO,278.82,51079824000,358
302,MDLZ,67.1,91633001887,1490
303,MDT,77.5,1.03089E+11,1290
304,MET,72.27,56703490435,1383
305,MGM,33.82,12987566411,2956
306,MHK,97.96,6223793775,1020
307,MKC,84.22,22545612391,1187
308,MKTX,280.85,10570301740,356
309,MLM,338.59,21023288081,295
310,MMC,165.59,82134214099,603
311,MMM,120.14,66406533808,832
312,MNST,101.26,52831758151,987
313,MO,46.24,82870061856,2162
314,MOS,45.14,15369313875,2215
315,MPC,115.12,53952235095,868
316,MRK,111.86,2.83609E+11,893
317,MRO,27.44,17426261530,3644
318,MS,86.11,1.45535E+11,1161
319,MSCI,463.82,37086196554,215
320,MSFT,238.73,1.78009E+12,418
321,MSI,256.63,42909359526,389
322,MTB,144.56,24952984864,691
323,MTD,1439.05,32082452680,69
324,MU,50.2,54777062910,1992
325,MXIM,103.14,27699922819,969
326,MYL,15.855,8586211830,6307
327,NBL,8.45,4095292500,11834
328,NCLH,13,5478149300,7692
329,NDAQ,61.28,30105609353,1631
330,NEE,84.17,1.6726E+11,1188
331,NEM,47.85,37980398278,2089
332,NFLX,294.965,1.30314E+11,339
333,NI,27.71,11253982617,3608
334,NKE,116.25,1.8135E+11,860
335,NLOK,21.62,12352934758,4625
336,NLSN,27.98,10068164861,3573
337,NOC,534.77,82307603664,186
338,NOV,20.72,8138918750,4826
339,NOW,381.86,77135720000,261
340,NRG,31.91,7351559982,3133
341,NSC,247.5,57299767718,404
342,NTAP,59.04,12727450997,1693
343,NTRS,88.03,18346831694,1135
344,NUE,136.08,34910468057,734
345,NVDA,152.06,3.78629E+11,657
346,NVR,4645,14844895115,21
347,NWL,12.99,5372664000,7698
348,NWS,18.56,10588064033,5387
349,NWSA,18.31,10588064046,5461
350,O,64.41,40394980187,1552
351,ODFL,286.1,31608792054,349
352,OKE,65.56,29302293882,1525
353,OMC,80.5,16415248304,1242
354,ORCL,80.85,2.17992E+11,1236
355,ORLY,833.55,52160150614,119
356,OTIS,78.36,32643684994,1276
357,OXY,63.95,58125059829,1563
358,PAYC,305.17,18316416008,327
359,PAYX,116.01,41817724233,861
360,PBCT,19.41,8371850392,5151
361,PCAR,100.55,34968029666,994
362,PEAK,25.17,13529885424,3972
363,PEG,61.08,30475850364,1637
364,PEP,182.26,2.51101E+11,548
365,PFE,51.83,2.90938E+11,1929
366,PFG,85.56,20935059512,1168
367,PG,152.62,3.64075E+11,655
368,PGR,129.44,75731423521,772
369,PH,290.96,37360931492,343
370,PHM,45.79,10431865162,2183
371,PKG,128.7,11909187576,777
372,PKI,140.63,17750873245,711
373,PLD,113.62,1.0488E+11,880
374,PM,101.69,1.5764E+11,983
375,PNC,155.02,62522516496,645
376,PNR,44.4,7303726918,2252
377,PNW,77.93,8817016020,1283
378,PPG,126.72,29782671368,789
379,PPL,29.54,21750842109,3385
380,PRGO,33.02,4445804413,3028
381,PRU,99.56,37036320000,1004
382,PSA,283.21,49742547865,353
383,PSX,103.94,49125392219,962
384,PVH,70.06,4439799443,1427
385,PWR,144.2,20606346695,693
386,PXD,229.11,55435223053,436
387,PYPL,69.03,78696114340,1448
388,QCOM,110.84,1.24252E+11,902
389,QRVO,90.5,9175747307,1104
390,RCL,49.79,12705512527,2008
391,RE,334.92,13117153187,298
392,REG,62.64,10719127181,1596
393,REGN,726.74,77822072818,137
394,RF,21.22,19828935759,4712
395,RHI,73.38,7961622572,1362
396,RJF,107.35,23087076387,931
397,RL,104.36,7073520800,958
398,RMD,208.32,30515473968,480
399,ROK,256.74,29485087584,389
400,ROL,37.12,18280576824,2693
401,ROP,430.11,45614048946,232
402,ROST,115.48,39767964119,865
403,RSG,130.77,41323442401,764
404,RTX,99.3,1.45977E+11,1007
405,SBAC,282.51,30501344140,353
406,SBUX,98.27,1.12794E+11,1017
407,SCHW,81.77,1.48482E+11,1222
408,SEE,49.96,7227089799,2001
409,SHW,242.67,62886332761,412
410,SIVB,216.85,12816729289,461
411,SJM,159.44,16989503087,627
412,SLB,52.99,75139490137,1887
413,SLG,33.84,2176455166,2955
414,SNA,227.74,12105437486,439
415,SNPS,320.21,48805509691,312
416,SO,71.74,78101388681,1393
417,SPG,117.91,38550178217,848
418,SPGI,332.94,1.10869E+11,300
419,SRE,157.75,49586088013,633
420,STE,182.06,18173766823,549
421,STT,77.49,28434191991,1290
422,STX,50.51,10544467600,1979
423,STZ,232.41,37470185580,430
424,SWK,73.94,10938815657,1352
425,SWKS,88.85,14230310536,1125
426,SYF,32.75,14755231767,3053
427,SYK,242.84,91897923958,411
428,SYY,78.09,39573476105,1280
429,T,18.31,1.3055E+11,5461
430,TAP,51.93,792972866,1925
431,TDG,620.32,33729649391,161
432,TDY,393.75,18455492869,253
433,TEL,113.95,36148422654,877
434,TFC,42.59,56506976206,2347
435,TFX,248.81,11670790092,401
436,TGT,143.15,65886595485,698
437,TIF,131.46,15960711882,760
438,TJX,79.5,91862579846,1257
439,TMO,540.68,2.12052E+11,184
440,TMUS,140.02,1.74206E+11,714
441,TPR,37.42,9016771883,2672
442,TROW,111.12,24831409909,899
443,TRV,189.48,44404169037,527
444,TSCO,217.06,23977151960,460
445,TSN,61.35,22063300500,1629
446,TT,169.95,39140724955,588
447,TTWO,99.83,16753383349,1001
448,TWTR,53.7,41093718362,1862
449,TXN,164.38,1.49187E+11,608
450,TXT,70.41,14699599344,1420
451,TYL,320.12,13329764148,312
452,UA,8.6,3813730346,11627
453,UAA,9.77,3813730345,10235
454,UAL,38.39,12543728956,2604
455,UDR,38.75,12614743975,2580
456,UHS,140.76,10271292672,710
457,ULTA,456.4,23221983884,219
458,UNH,531.31,4.96429E+11,188
459,UNM,41.08,8172491515,2434
460,UNP,209.91,1.29053E+11,476
461,UPS,177.01,1.53099E+11,564
462,URI,355.22,24619758621,281
463,USB,43.2,64187574595,2314
464,V,205.83,3.89104E+11,485
465,VAR,177.07,16261898618,564
466,VFC,26.07,10129917836,3835
467,VIAC,29.58,19317433987,3380
468,VLO,124.37,47947530085,804
469,VMC,175.2,23285282923,570
470,VNO,21.45,4114467872,4662
471,VRSK,175.61,27463287900,569
472,VRSN,203.72,21597672416,490
473,VRTX,289.69,74360946730,345
474,VTR,45.49,18183171138,2198
475,VZ,38.41,1.61315E+11,2603
476,WAB,100.49,18275901653,995
477,WAT,346.66,20594229950,288
478,WBA,38.63,33311971305,2588
479,WDC,30.59,9716922524,3269
480,WEC,95.48,30117689020,1047
481,WELL,65.07,30746970491,1536
482,WFC,40.98,1.56154E+11,2440
483,WHR,141.62,7715224493,706
484,WLTW,231.56,28853787821,431
485,WM,159.21,65352058454,628
486,WMB,33.32,40595083069,3001
487,WMT,143.77,3.87719E+11,695
488,WRB,73.45,19499221087,1361
489,WRK,35.46,9025210230,2820
490,WST,235.13,17407376233,425
491,WU,13.83,5340742275,7230
492,WY,31.49,23174026330,3175
493,WYNN,80.72,9146673066,1238
494,XEL,70.93,38816335821,1409
495,XLNX,194.92,48414620999,513
496,XOM,108.68,4.47576E+11,920
497,XRAY,31.83,6840645331,3141
498,XRX,14.61,2273354527,6844
499,XYL,109.73,19775708706,911
500,YUM,128.9,36309565927,775
501,ZBH,126.69,26586199542,789
502,ZBRA,248.22,12815548460,402
503,ZION,48.45,7248980181,2063
504,ZTS,145.76,67934653991,686
